customer_id,acquisition_date,acquisition_channel,lead_source,geography,industry,customer_type,initial_plan,initial_subscription_type,cac
CUST_1067,2022-04-23,Email Campaigns,Website Form,North America,Healthcare,Mid-Market,Pro,annual,150
CUST_1068,2022-08-13,Paid Ads,Direct Referral,Asia-Pacific,Tech,Enterprise,Basic,monthly,250
CUST_1069,2023-02-27,Organic Search,Direct Referral,North America,Tech,SMBs,Basic,annual,50
CUST_1070,2022-03-24,Paid Ads,Website Form,North America,Other,SMBs,Pro,annual,250
CUST_1071,2022-04-02,Paid Ads,Website Form,Europe,Tech,Enterprise,Basic,monthly,250
CUST_1072,2022-01-14,Paid Ads,Social Media,Europe,Healthcare,SMBs,Basic,annual,250
CUST_1073,2022-11-25,Paid Ads,Direct Referral,North America,Education,Mid-Market,Basic,annual,250
CUST_1074,2022-05-23,Paid Ads,Website Form,North America,Tech,Enterprise,Enterprise,annual,250
CUST_1075,2022-04-29,Paid Ads,Website Form,North America,Tech,SMBs,Enterprise,annual,250
CUST_1076,2022-09-25,Paid Ads,Website Form,North America,Other,Enterprise,Basic,monthly,250
CUST_1077,2022-06-27,Paid Ads,Direct Referral,Asia-Pacific,Healthcare,SMBs,Basic,monthly,250
CUST_1078,2022-06-13,Organic Search,Partner,Europe,Tech,SMBs,Basic,monthly,50
CUST_1079,2023-01-22,Paid Ads,Direct Referral,North America,Healthcare,SMBs,Basic,annual,250
CUST_1080,2022-05-19,Paid Ads,Direct Referral,North America,Healthcare,SMBs,Basic,annual,250
CUST_1081,2022-08-11,Organic Search,Direct Referral,North America,Other,SMBs,Basic,annual,50
CUST_1082,2022-02-10,Organic Search,Social Media,North America,Healthcare,Enterprise,Pro,monthly,50
CUST_1083,2022-04-22,Paid Ads,Direct Referral,Europe,Other,SMBs,Basic,annual,250
CUST_1084,2022-01-05,Paid Ads,Partner,North America,Other,SMBs,Basic,annual,250
CUST_1085,2022-01-28,Paid Ads,Website Form,North America,Tech,SMBs,Pro,annual,250
CUST_1086,2022-01-05,Paid Ads,Conference,North America,Tech,SMBs,Pro,monthly,250
CUST_1087,2022-12-20,Paid Ads,Direct Referral,Asia-Pacific,Healthcare,SMBs,Basic,annual,250
CUST_1088,2022-10-30,Paid Ads,Direct Referral,Europe,Healthcare,Mid-Market,Basic,annual,250
CUST_1089,2022-12-31,Paid Ads,Partner,North America,Tech,SMBs,Pro,monthly,250
CUST_1090,2023-04-16,Paid Ads,Social Media,Asia-Pacific,Tech,SMBs,Pro,annual,250
CUST_1091,2022-11-30,Email Campaigns,Partner,North America,Healthcare,SMBs,Pro,annual,150
CUST_1092,2022-05-01,Email Campaigns,Website Form,North America,Healthcare,SMBs,Basic,annual,150
CUST_1093,2022-01-24,Organic Search,Direct Referral,North America,Healthcare,Mid-Market,Basic,annual,50
CUST_1094,2023-05-31,Organic Search,Direct Referral,North America,Retail,SMBs,Basic,annual,50
CUST_1095,2023-02-08,Organic Search,Direct Referral,North America,Healthcare,Mid-Market,Enterprise,monthly,50
CUST_1096,2022-12-14,Organic Search,Website Form,Europe,Tech,SMBs,Enterprise,annual,50
CUST_1097,2022-11-21,Paid Ads,Website Form,Asia-Pacific,Tech,SMBs,Basic,monthly,250
CUST_1098,2022-06-22,Paid Ads,Partner,North America,Tech,SMBs,Enterprise,annual,250
CUST_1099,2023-03-11,Organic Search,Partner,Asia-Pacific,Healthcare,Mid-Market,Basic,annual,50
CUST_1100,2022-05-16,Paid Ads,Website Form,Asia-Pacific,Education,Mid-Market,Pro,annual,250
CUST_1101,2023-05-12,Paid Ads,Conference,Europe,Other,SMBs,Pro,annual,250
CUST_1102,2022-01-17,Organic Search,Social Media,North America,Healthcare,SMBs,Pro,annual,50
CUST_1103,2023-05-13,Organic Search,Social Media,North America,Healthcare,SMBs,Pro,annual,50
CUST_1104,2022-10-24,Paid Ads,Website Form,Asia-Pacific,Other,SMBs,Basic,annual,250
CUST_1105,2022-04-07,Organic Search,Website Form,Europe,Retail,SMBs,Enterprise,monthly,50
CUST_1106,2022-12-09,Paid Ads,Direct Referral,Europe,Tech,SMBs,Pro,annual,250
CUST_1107,2022-04-13,Paid Ads,Social Media,North America,Education,SMBs,Pro,monthly,250
CUST_1108,2022-06-20,Paid Ads,Website Form,Europe,Education,Mid-Market,Pro,annual,250
CUST_1109,2022-07-10,Organic Search,Direct Referral,Europe,Education,SMBs,Pro,monthly,50
CUST_1110,2023-03-21,Paid Ads,Social Media,North America,Tech,Mid-Market,Pro,annual,250
CUST_1111,2022-10-17,Paid Ads,Website Form,Europe,Healthcare,SMBs,Basic,annual,250
CUST_1112,2022-12-23,Organic Search,Social Media,North America,Retail,Mid-Market,Basic,annual,50
CUST_1113,2022-09-24,Email Campaigns,Social Media,North America,Tech,SMBs,Enterprise,monthly,150
CUST_1114,2023-05-10,Email Campaigns,Conference,Europe,Healthcare,SMBs,Basic,annual,150
CUST_1115,2022-06-14,Organic Search,Social Media,Asia-Pacific,Tech,SMBs,Pro,annual,50
CUST_1116,2022-09-06,Email Campaigns,Partner,North America,Tech,Mid-Market,Pro,annual,150
CUST_1117,2022-12-02,Paid Ads,Direct Referral,North America,Other,SMBs,Basic,annual,250
CUST_1118,2023-03-18,Organic Search,Website Form,North America,Retail,SMBs,Pro,annual,50
CUST_1119,2022-08-10,Paid Ads,Website Form,North America,Tech,Mid-Market,Basic,annual,250
CUST_1120,2022-04-04,Paid Ads,Direct Referral,North America,Healthcare,Mid-Market,Basic,annual,250
CUST_1121,2022-09-05,Paid Ads,Direct Referral,North America,Retail,SMBs,Pro,annual,250
CUST_1122,2022-05-16,Organic Search,Website Form,North America,Healthcare,Mid-Market,Pro,annual,50
CUST_1123,2022-10-14,Paid Ads,Direct Referral,Asia-Pacific,Healthcare,SMBs,Basic,annual,250
CUST_1124,2023-01-25,Paid Ads,Direct Referral,North America,Tech,SMBs,Basic,annual,250
CUST_1125,2022-11-26,Paid Ads,Direct Referral,Europe,Education,SMBs,Basic,annual,250
CUST_1126,2022-10-16,Email Campaigns,Direct Referral,North America,Healthcare,SMBs,Basic,monthly,150
CUST_1127,2023-01-09,Paid Ads,Social Media,Asia-Pacific,Tech,SMBs,Enterprise,annual,250
CUST_1128,2022-10-26,Paid Ads,Direct Referral,Asia-Pacific,Other,Mid-Market,Pro,annual,250
CUST_1129,2022-11-20,Paid Ads,Partner,North America,Healthcare,SMBs,Basic,monthly,250
CUST_1130,2022-05-03,Paid Ads,Conference,Asia-Pacific,Tech,SMBs,Pro,annual,250
CUST_1131,2022-03-21,Organic Search,Social Media,North America,Healthcare,Mid-Market,Basic,monthly,50
CUST_1132,2023-01-31,Organic Search,Conference,North America,Tech,Enterprise,Pro,monthly,50
CUST_1133,2023-01-19,Paid Ads,Website Form,Asia-Pacific,Other,Mid-Market,Basic,annual,250
CUST_1134,2023-05-31,Organic Search,Website Form,Asia-Pacific,Healthcare,SMBs,Basic,annual,50
CUST_1135,2023-05-07,Paid Ads,Website Form,North America,Tech,SMBs,Pro,annual,250
CUST_1136,2022-07-13,Paid Ads,Direct Referral,North America,Education,SMBs,Pro,annual,250
CUST_1137,2022-01-17,Paid Ads,Social Media,North America,Retail,Mid-Market,Pro,monthly,250
CUST_1138,2022-03-25,Organic Search,Website Form,North America,Tech,SMBs,Pro,annual,50
CUST_1139,2023-02-11,Organic Search,Social Media,Europe,Healthcare,SMBs,Pro,annual,50
CUST_1140,2023-04-17,Email Campaigns,Partner,North America,Retail,SMBs,Pro,annual,150
CUST_1141,2022-08-27,Email Campaigns,Website Form,Europe,Tech,Mid-Market,Basic,annual,150
CUST_1142,2022-09-18,Paid Ads,Website Form,Asia-Pacific,Tech,SMBs,Basic,annual,250
CUST_1143,2022-07-27,Paid Ads,Website Form,North America,Retail,SMBs,Basic,annual,250
CUST_1144,2023-02-20,Paid Ads,Social Media,North America,Tech,SMBs,Basic,annual,250
CUST_1145,2022-02-06,Paid Ads,Website Form,Europe,Tech,SMBs,Basic,monthly,250
CUST_1146,2022-04-12,Organic Search,Social Media,North America,Retail,SMBs,Pro,monthly,50
CUST_1147,2022-12-15,Email Campaigns,Direct Referral,Asia-Pacific,Education,Mid-Market,Basic,annual,150
CUST_1148,2022-01-18,Paid Ads,Website Form,Asia-Pacific,Retail,SMBs,Pro,monthly,250
CUST_1149,2023-04-20,Paid Ads,Website Form,North America,Healthcare,SMBs,Basic,annual,250
CUST_1150,2022-04-10,Organic Search,Website Form,Europe,Education,SMBs,Pro,annual,50
CUST_1151,2022-12-07,Paid Ads,Website Form,Asia-Pacific,Healthcare,SMBs,Basic,annual,250
CUST_1152,2022-08-30,Organic Search,Social Media,North America,Tech,Mid-Market,Enterprise,annual,50
CUST_1153,2022-08-21,Paid Ads,Website Form,North America,Education,Mid-Market,Basic,annual,250
CUST_1154,2022-02-04,Organic Search,Website Form,Asia-Pacific,Tech,SMBs,Basic,monthly,50
CUST_1155,2022-07-20,Paid Ads,Partner,North America,Healthcare,SMBs,Pro,annual,250
CUST_1156,2022-09-30,Paid Ads,Conference,Europe,Education,SMBs,Pro,annual,250
CUST_1157,2022-10-01,Paid Ads,Social Media,North America,Education,SMBs,Basic,annual,250
CUST_1158,2022-06-09,Paid Ads,Partner,North America,Tech,SMBs,Basic,monthly,250
CUST_1159,2022-09-17,Email Campaigns,Website Form,North America,Tech,SMBs,Basic,monthly,150
CUST_1160,2022-10-13,Paid Ads,Conference,Europe,Healthcare,Mid-Market,Basic,annual,250
CUST_1161,2022-02-18,Paid Ads,Website Form,North America,Tech,SMBs,Basic,monthly,250
CUST_1162,2022-04-10,Paid Ads,Website Form,Europe,Healthcare,SMBs,Basic,annual,250
CUST_1163,2022-01-25,Email Campaigns,Direct Referral,Asia-Pacific,Tech,SMBs,Basic,monthly,150
CUST_1164,2023-02-05,Paid Ads,Conference,Europe,Retail,Mid-Market,Enterprise,annual,250
CUST_1165,2023-06-09,Paid Ads,Social Media,North America,Tech,SMBs,Pro,annual,250
CUST_1166,2023-05-05,Email Campaigns,Website Form,North America,Tech,Enterprise,Basic,monthly,150
CUST_1167,2022-06-02,Organic Search,Direct Referral,North America,Tech,SMBs,Basic,monthly,50
CUST_1168,2022-05-19,Paid Ads,Conference,Asia-Pacific,Retail,SMBs,Pro,monthly,250
CUST_1169,2022-03-09,Email Campaigns,Partner,North America,Retail,SMBs,Pro,annual,150
CUST_1170,2023-04-08,Paid Ads,Website Form,North America,Tech,SMBs,Pro,annual,250
CUST_1171,2022-07-08,Paid Ads,Direct Referral,Europe,Retail,SMBs,Basic,annual,250
CUST_1172,2022-03-18,Paid Ads,Social Media,North America,Tech,SMBs,Pro,monthly,250
CUST_1173,2022-11-23,Email Campaigns,Direct Referral,North America,Tech,SMBs,Enterprise,annual,150
CUST_1174,2023-03-24,Paid Ads,Direct Referral,Asia-Pacific,Healthcare,SMBs,Basic,monthly,250
CUST_1175,2022-04-20,Paid Ads,Social Media,North America,Healthcare,Mid-Market,Pro,annual,250
CUST_1176,2022-09-06,Paid Ads,Direct Referral,Europe,Tech,SMBs,Basic,monthly,250
CUST_1177,2023-01-09,Email Campaigns,Direct Referral,North America,Retail,SMBs,Pro,monthly,150
CUST_1178,2022-12-26,Email Campaigns,Website Form,Asia-Pacific,Retail,SMBs,Pro,annual,150
CUST_1179,2023-02-18,Email Campaigns,Social Media,Europe,Tech,SMBs,Pro,annual,150
CUST_1180,2023-06-27,Paid Ads,Direct Referral,North America,Healthcare,Enterprise,Pro,annual,250
CUST_1181,2023-03-06,Paid Ads,Social Media,North America,Other,SMBs,Basic,annual,250
CUST_1182,2022-01-13,Paid Ads,Website Form,North America,Tech,SMBs,Basic,monthly,250
CUST_1183,2023-06-11,Paid Ads,Website Form,Europe,Tech,SMBs,Basic,annual,250
CUST_1184,2022-10-16,Paid Ads,Direct Referral,Asia-Pacific,Healthcare,SMBs,Basic,annual,250
CUST_1185,2023-04-26,Paid Ads,Direct Referral,North America,Retail,SMBs,Basic,annual,250
CUST_1186,2022-10-23,Organic Search,Conference,North America,Tech,SMBs,Basic,annual,50
CUST_1187,2022-01-13,Paid Ads,Website Form,North America,Tech,SMBs,Pro,annual,250
CUST_1188,2022-08-10,Paid Ads,Conference,North America,Tech,Mid-Market,Basic,monthly,250
CUST_1189,2022-12-19,Paid Ads,Partner,Asia-Pacific,Tech,SMBs,Pro,annual,250
CUST_1190,2022-03-21,Email Campaigns,Website Form,Europe,Healthcare,SMBs,Basic,annual,150
CUST_1191,2022-11-12,Organic Search,Website Form,Europe,Retail,SMBs,Basic,annual,50
CUST_1192,2022-07-21,Paid Ads,Partner,North America,Healthcare,Mid-Market,Basic,monthly,250
CUST_1193,2022-05-31,Paid Ads,Website Form,North America,Tech,Mid-Market,Basic,annual,250
CUST_1194,2022-07-20,Paid Ads,Conference,Asia-Pacific,Education,SMBs,Basic,annual,250
CUST_1195,2023-05-04,Paid Ads,Website Form,Europe,Retail,SMBs,Basic,annual,250
CUST_1196,2022-01-22,Paid Ads,Social Media,North America,Tech,Enterprise,Basic,annual,250
CUST_1197,2022-09-09,Paid Ads,Direct Referral,North America,Healthcare,SMBs,Enterprise,annual,250
CUST_1198,2022-10-06,Paid Ads,Social Media,North America,Healthcare,SMBs,Pro,annual,250
CUST_1199,2022-01-04,Paid Ads,Social Media,North America,Healthcare,SMBs,Pro,annual,250
